pop1,pop2,gene,fst
East_Asian,Island_Melanesian,TYR,0
South_Asian,Island_Melanesian,TYR,0.038
Native_American,Island_Melanesian,TYR,0
European,Island_Melanesian,TYR,0.515
West_African,Island_Melanesian,TYR,0
East_Asian,Island_Melanesian,ASIP,0.071
South_Asian,Island_Melanesian,ASIP,0.115
Native_American,Island_Melanesian,ASIP,0.424
European,Island_Melanesian,ASIP,0.226
West_African,Island_Melanesian,ASIP,0.26
East_Asian,Island_Melanesian,OCA2,0.072
South_Asian,Island_Melanesian,OCA2,0.021
Native_American,Island_Melanesian,OCA2,0.081
European,Island_Melanesian,OCA2,0.281
West_African,Island_Melanesian,OCA2,0.101
East_Asian,Island_Melanesian,MATP,0.008
South_Asian,Island_Melanesian,MATP,0.06
Native_American,Island_Melanesian,MATP,0.053
European,Island_Melanesian,MATP,0.855
West_African,Island_Melanesian,MATP,0.039
East_Asian,Island_Melanesian,SLC24A5,0.065
South_Asian,Island_Melanesian,SLC24A5,0.383
Native_American,Island_Melanesian,SLC24A5,0
European,Island_Melanesian,SLC24A5,0.875
West_African,Island_Melanesian,SLC24A5,0
East_Asian,East_Asian,TYR,0
South_Asian,East_Asian,TYR,0.038
Native_American,East_Asian,TYR,0
European,East_Asian,TYR,0.515
West_African,East_Asian,TYR,0
East_Asian,East_Asian,ASIP,0
South_Asian,East_Asian,ASIP,0
Native_American,East_Asian,ASIP,0.221
European,East_Asian,ASIP,0.048
West_African,East_Asian,ASIP,0.489
East_Asian,East_Asian,OCA2,0
South_Asian,East_Asian,OCA2,0.006
Native_American,East_Asian,OCA2,0
European,East_Asian,OCA2,0.082
West_African,East_Asian,OCA2,0.286
East_Asian,East_Asian,MATP,0
South_Asian,East_Asian,MATP,0.026
Native_American,East_Asian,MATP,0.02
European,East_Asian,MATP,0.836
West_African,East_Asian,MATP,0.008
East_Asian,East_Asian,SLC24A5,0
South_Asian,East_Asian,SLC24A5,0.519
Native_American,East_Asian,SLC24A5,0.072
European,East_Asian,SLC24A5,0.957
West_African,East_Asian,SLC24A5,0.081
East_Asian,South_Asian,TYR,0.038
South_Asian,South_Asian,TYR,0
Native_American,South_Asian,TYR,0.019
European,South_Asian,TYR,0.43
West_African,South_Asian,TYR,0.019
East_Asian,South_Asian,ASIP,0
South_Asian,South_Asian,ASIP,0
Native_American,South_Asian,ASIP,0.173
European,South_Asian,ASIP,0.018
West_African,South_Asian,ASIP,0.547
East_Asian,South_Asian,OCA2,0.006
South_Asian,South_Asian,OCA2,0
Native_American,South_Asian,OCA2,0.01
European,South_Asian,OCA2,0.155
West_African,South_Asian,OCA2,0.205
East_Asian,South_Asian,MATP,0.026
South_Asian,South_Asian,MATP,0
Native_American,South_Asian,MATP,0
European,South_Asian,MATP,0.769
West_African,South_Asian,MATP,0
East_Asian,South_Asian,SLC24A5,0.519
South_Asian,South_Asian,SLC24A5,0
Native_American,South_Asian,SLC24A5,0.374
European,South_Asian,SLC24A5,0.389
West_African,South_Asian,SLC24A5,0.358
East_Asian,Native_American,TYR,0
South_Asian,Native_American,TYR,0.019
Native_American,Native_American,TYR,0
European,Native_American,TYR,0.499
West_African,Native_American,TYR,0
East_Asian,Native_American,ASIP,0.221
South_Asian,Native_American,ASIP,0.173
Native_American,Native_American,ASIP,0
European,Native_American,ASIP,0.075
West_African,Native_American,ASIP,0.815
East_Asian,Native_American,OCA2,0
South_Asian,Native_American,OCA2,0.01
Native_American,Native_American,OCA2,0
European,Native_American,OCA2,0.073
West_African,Native_American,OCA2,0.299
East_Asian,Native_American,MATP,0.02
South_Asian,Native_American,MATP,0
Native_American,Native_American,MATP,0
European,Native_American,MATP,0.777
West_African,Native_American,MATP,0
East_Asian,Native_American,SLC24A5,0.072
South_Asian,Native_American,SLC24A5,0.374
Native_American,Native_American,SLC24A5,0
European,Native_American,SLC24A5,0.87
West_African,Native_American,SLC24A5,0
East_Asian,European,TYR,0.515
South_Asian,European,TYR,0.43
Native_American,European,TYR,0.499
European,European,TYR,0
West_African,European,TYR,0.5
East_Asian,European,ASIP,0.048
South_Asian,European,ASIP,0.018
Native_American,European,ASIP,0.075
European,European,ASIP,0
West_African,European,ASIP,0.663
East_Asian,European,OCA2,0.082
South_Asian,European,OCA2,0.155
Native_American,European,OCA2,0.073
European,European,OCA2,0
West_African,European,OCA2,0.516
East_Asian,European,MATP,0.836
South_Asian,European,MATP,0.769
Native_American,European,MATP,0.777
European,European,MATP,0
West_African,European,MATP,0.791
East_Asian,European,SLC24A5,0.957
South_Asian,European,SLC24A5,0.389
Native_American,European,SLC24A5,0.87
European,European,SLC24A5,0
West_African,European,SLC24A5,0.859